"Name","csuoee__Course_Code__c","hed__Course_ID__c","hed__Account__r.hed__School_Code__c","hed__Description__c","hed__Extended_Description__c","lms_hed__LMS_Reference_Code__c","csuoee__Short_Description__c"
"ASBB 1003: Basic Automotive Electricity","ASBB 1003","ASBB 1003","OEE","","<p>This course is part of the Automotive Services Digital Mastery Badge developed in partnership with Emily Griffith Technical College (EGTC). The program is designed to recognize prior learning experience gained while working in the military or automotive field, providing a unique and innovative opportunity for veterans and experienced workers to use their practical knowledge to test and earn a badge for each course.<br />Each course is equivalent to a course at EGTC. A student who completes all seven courses in the program will earn a digital mastery badge from Colorado State University, and will become eligible to skip the introductory courses of the Emily Griffith Technical College automotive service certificate program. This allows students to fast-track through the EGTC program, graduate with a certificate and find employment faster.<br />Basic Automotive Electricity (ASBB 1003) Introduces vehicle electricity and includes basic electrical theory, circuit designs, and wiring methods. It also focuses on multimeter usage and wiring diagrams.</p>","ASBB-1003","Basic Automotive Electricity (ASBB 1003) Introduces vehicle electricity and includes basic electrical theory, circuit designs, and wiring methods. It also focuses on multimeter usage and wiring diagrams."
"EGEU 1003: Carolinas/Dam Safety - Spillways Session","EGEU 1003","EGEU 1003","OEE","","<p>May 2021 USSD Conference: Carolinas/Dam Safety - Spillways Session</p>","EGEU-1003","May 2021 USSD Conference: Carolinas/Dam Safety - Spillways Session"
"HSLL 1003: Sanitation in the Food Industry","HSLL 1003","HSLL 1003","OEE","","<p>Students will be able to define sanitation pertaining to the food industry, as well as its importance and the steps involved to maintain proper sanitation. This includes understanding how to properly store chemicals and understanding the use of Safety Data Sheets (SDS). Students will learn about the different types of sanitation equipment and sanitation in relation to meat, poultry, and ready-to-eat (RTE) meat products.</p>","HSLL-1003","Students will be able to define sanitation pertaining to the food industry, as well as its importance and the steps involved to maintain proper sanitation."
"ASBB 1004: Steering and Suspension I","ASBB 1004","ASBB 1004","OEE","","<p>This course is part of the Automotive Services Digital Mastery Badge developed in partnership with Emily Griffith Technical College (EGTC). The program is designed to recognize prior learning experience gained while working in the military or automotive field, providing a unique and innovative opportunity for veterans and experienced workers to use their practical knowledge to test and earn a badge for each course.<br />Each course is equivalent to a course at EGTC. A student who completes all seven courses in the program will earn a digital mastery badge from Colorado State University, and will become eligible to skip the introductory courses of the Emily Griffith Technical College automotive service certificate program. This allows students to fast-track through the EGTC program, graduate with a certificate and find employment faster.<br />Steering and Suspension (ASBB 1004) focuses on lecture and related experiences in the diagnosis and service of suspensions and steering systems and their components.</p>","ASBB-1004","Steering and Suspension (ASBB 1004) focuses on lecture and related experiences in the diagnosis and service of suspensions and steering systems and their components."
"EGEU 1004: Carolinas","EGEU 1004","EGEU 1004","OEE","","<p>May 2021 USSD Conference: Carolinas</p>","EGEU-1004","May 2021 USSD Conference: Carolinas"
"HSLL 1004: Waste Disposal and Pest Control in the Food Industry","HSLL 1004","HSLL 1004","OEE","","<p>Methods of handling waste and pests properly are essential to almost every aspect of the food industry. In this course, you will learn the best practices for removing food wastes as well as the consequences of improper disposal. This course also covers how to effectively manage common pests that people in the food industry encounter. This course can help you make sure that your business is running in the most effective and hygienic way it can be.</p>","HSLL-1004","Methods of handling waste and pests properly are essential to almost every aspect of the food industry. In this course, you will learn the best practices for removing food wastes as well as the consequences of improper disposal."
"ASBB 1005: Automotive Power and ABS Brake Systems","ASBB 1005","ASBB 1005","OEE","","<p>This course is part of the Automotive Services Digital Mastery Badge developed in partnership with Emily Griffith Technical College (EGTC). The program is designed to recognize prior learning experience gained while working in the military or automotive field, providing a unique and innovative opportunity for veterans and experienced workers to use their practical knowledge to test and earn a badge for each course.<br />Each course is equivalent to a course at EGTC. A student who completes all seven courses in the program will earn a digital mastery badge from Colorado State University, and will become eligible to skip the introductory courses of the Emily Griffith Technical College automotive service certificate program. This allows students to fast-track through the EGTC program, graduate with a certificate and find employment faster.<br />Automotive Power and ABS Brake Systems (ASBB 1005) covers the operation and theory of the modern automotive braking systems. Includes operation, diagnosis, service and repair of the anti-lock braking systems, power assist units and machine operations of today’s automobile.</p>","ASBB-1005","Automotive Power and ABS Brake Systems (ASBB 1005) covers the operation and theory of the modern automotive braking systems. Includes operation, diagnosis, service and repair of the anti-lock braking systems, power assist units and machine operations of today’s automobile."
"EGEU 1005: Dam Safety - Spillways","EGEU 1005","EGEU 1005","OEE","","<p>May 2021 USSD Conference: Dam Safety - Spillways</p>","EGEU-1005","May 2021 USSD Conference: Dam Safety - Spillways"
"HSLL 1005: FSMA for Breweries, Wineries, and Distilleries","HSLL 1005","HSLL 1005","OEE","","<p>In this course, you will learn how the Food Safety and Modernization Act (FSMA) applies to the alcoholic beverage industry, i.e. Breweries, Wineries, and Distilleries. You will learn standard operating practices, sanitation requirements, and record keeping that is now required under the FSMA. Whether you are a startup craft brewer, vintner, or distiller, this course provides essential information to keep your business in compliance with FSMA. The craft alcohol business is growing, so take this course to make sure you are ready to be a part of this thriving industry.</p>","HSLL-1005","In this course, you will learn how the Food Safety and Modernization Act (FSMA) applies to the alcoholic beverage industry, i.e. Breweries, Wineries, and Distilleries. You will learn standard operating practices, sanitation requirements, and record keeping that is now required under the FSMA."
"ASBB 1006: Steering and Suspension II","ASBB 1006","ASBB 1006","OEE","","<p>This course is part of the Automotive Services Digital Mastery Badge developed in partnership with Emily Griffith Technical College (EGTC). The program is designed to recognize prior learning experience gained while working in the military or automotive field, providing a unique and innovative opportunity for veterans and experienced workers to use their practical knowledge to test and earn a badge for each course.<br />Each course is equivalent to a course at EGTC. A student who completes all seven courses in the program will earn a digital mastery badge from Colorado State University, and will become eligible to skip the introductory courses of the Emily Griffith Technical College automotive service certificate program. This allows students to fast-track through the EGTC program, graduate with a certificate and find employment faster.<br />Steering and Suspension II (ASBB 1006) emphasizes lecture and related experiences in the diagnosis and service of electronic suspensions and steering systems and their components.</p>","ASBB-1006","Steering and Suspension II (ASBB 1006) emphasizes lecture and related experiences in the diagnosis and service of electronic suspensions and steering systems and their components."
"EGEU 1006: Construction Session","EGEU 1006","EGEU 1006","OEE","","<p>May 2021 USSD Conference: Construction Session</p>","EGEU-1006","May 2021 USSD Conference: Construction Session"
"ASBB 1007: Heating and Air Conditioning Systems","ASBB 1007","ASBB 1007","OEE","","<p>This course is part of the Automotive Services Digital Mastery Badge developed in partnership with Emily Griffith Technical College (EGTC). The program is designed to recognize prior learning experience gained while working in the military or automotive field, providing a unique and innovative opportunity for veterans and experienced workers to use their practical knowledge to test and earn a badge for each course.<br />Each course is equivalent to a course at EGTC. A student who completes all seven courses in the program will earn a digital mastery badge from Colorado State University, and will become eligible to skip the introductory courses of the Emily Griffith Technical College automotive service certificate program. This allows students to fast-track through the EGTC program, graduate with a certificate and find employment faster.<br />Heating and Air Conditioning Systems (ASBB 1007) emphasizes lecture and related laboratory experiences in the diagnosis and service of automotive heating and air conditioning systems and their components.</p>","ASBB-1007","Heating and Air Conditioning Systems (ASBB 1007) emphasizes lecture and related laboratory experiences in the diagnosis and service of automotive heating and air conditioning systems and their components."
"EGEU 1007: TVA Boone Dam Cutoff Wall","EGEU 1007","EGEU 1007","OEE","","<p>May 2021 USSD Conference: TVA Boone Dam Cutoff Wall</p>","EGEU-1007","May 2021 USSD Conference: TVA Boone Dam Cutoff Wal"
"EGEU 1008: Construction & Rehab","EGEU 1008","EGEU 1008","OEE","","<p>May 2021 USSD Conference: Construction &amp; Rehab</p>","EGEU-1008","May 2021 USSD Conference: Construction & Rehab"
"EGEU 1009: Foundations/Dam Safety - Risk/Tailings Session","EGEU 1009","EGEU 1009","OEE","","<p>May 2021 USSD Conference: Foundations/Dam Safety - Risk/Tailings Session</p>","EGEU-1009","May 2021 USSD Conference: Foundations/Dam Safety - Risk/Tailings Session"
"CFPD 101: Designing Your Online Course","CFPD 101","CFPD 101","OEE","","<p><i>Designing Your Online Course</i> is a two-week, sixteen hour, instructor facilitated, online course focusing on using best practices to design and build effective online courses. Topics discussed include student engagement, authentic assessment, diverse instructional materials, universal design, and Quality Matters &amp;#8482;. In addition to working on a course map, participants will build a module of their course according to a nationally accepted set of standards for course quality. Please note, that while the course is asynchronous it is not self-paced, participants should expect to spend eight hours per week completing assignments with specific due dates.<br /><br />Upon successful completion of this course, participants will submit a course map with a completed course structure and one fully built module in Canvas. A digital badge and $250 stipend will be awarded upon meeting completion requirements.</p>","CFPD-101","<i>Designing Your Online Course</i> is a two-week, facilitated, online course focusing on using best practices to design and build effective online courses."
"CEEU 1010: CSU/Fullstack Part-Time Web Coding Bootcamp","CEEU 1010","CEEU 1010","OEE","","<p>CSU/Fullstack Part-Time Web Coding BootcampCourse</p>","CEEU-1010","CSU/Fullstack Part-Time Web Coding Bootcamp"
"EGEU 1010: Foundations","EGEU 1010","EGEU 1010","OEE","","<p>May 2021 USSD Conference: Foundations</p>","EGEU-1010","May 2021 USSD Conference: Foundations"
"CEEU 1011: CSU/Fullstack Part-Time Cybersecurity Bootcamp","CEEU 1011","CEEU 1011","OEE","","<p>CSU/Fullstack Part-Time Web Coding Bootcamp</p>","CEEU-1011","CSU/Fullstack Part-Time Web Coding Bootcamp"
"EGEU 1011: Dam Safety - Risk","EGEU 1011","EGEU 1011","OEE","","<p>May 2021 USSD Conference: Dam Safety - Risk</p>","EGEU-1011","May 2021 USSD Conference: Dam Safety - Risk"
"LMBB 1011: Creating Mindful Habits","LMBB 1011","LMBB 1011","OEE","","<p>This course offers an introduction to the practice of mindfulness for personal wellbeing. Explore how mindfulness practices can help us gain awareness of “habits of mind” that lead us toward reactivity, resistance, struggle and suffering. Learn that by staying present in the moment and in our bodies, mindfulness can help us move beyond conditioned reaction and open space for insight and growth. Explore mental patterns that contribute to negativity and stress and experiment with practices aimed at creating greater present moment awareness<br />Topics include:<br />• Our Habits of Mind<br />• Coming to our Senses<br />• Fundamentals of Practice</p>","LMBB-1011","By staying present in the moment, mindfulness can help us move beyond conditioned reaction, and open space for insight and growth. This course explores “habits of mind” that lead us toward reactivity and resistance, and contribute to negativity and stress. Participants will gain an understanding of their “habits of mind” and experiment with practices designed to help create a greater awareness."
"EGEU 1012: Tailings","EGEU 1012","EGEU 1012","OEE","","<p>May 2021 USSD Conference: Tailings</p>","EGEU-1012","May 2021 USSD Conference: Tailings"
"LMBB 1012: Responding to Stress","LMBB 1012","LMBB 1012","OEE","","<p>Stress can be our constant companion unless we learn how to work skillfully with the habits that keep us stuck in a cycle of stress. In this module, we will explore the physiological and psychological impacts of stress, learn how to interrupt the cycle of stress, and explore mindfulness practices that can help us decrease our stress response. By creating new pathways for mindful self-care, we will learn how to create greater stress resiliency.<br />Topics include:<br />• The Psychology of Stress<br />• The Physiology of Stress</p>","LMBB-1012","<b><i>Responding to Stress</b></i> explores ways to create greater stress resiliency through mindful self-care, and the physiological and psychological impacts of stress. Participants will learn how to interrupt the cycle of stress, and discover mindfulness practices that can help us decrease our stress response."
"EGEU 1013: Public Safety & Emergency Response.Levees Session","EGEU 1013","EGEU 1013","OEE","","<p>May 2021 USSD Conference: Public Safety &amp; Emergency Response.Levees Session</p>","EGEU-1013","May 2021 USSD Conference: Public Safety & Emergency Response.Levees Session"
"LMBB 1013: Rewiring Our Brains","LMBB 1013","LMBB 1013","OEE","","<p>This module will help us learn to involve our minds in changing our brains for the benefit of our health and wellbeing. We will explore the concept of neuroplasticity and learn how to undo our negativity bias in order to rewire our brains for the good. We will experiment with a range of practices that help us create new neural pathways by seeding positivity and cultivating mindful presence.<br />Topics include:<br />• Our Negativity Bias<br />• The Power of Thoughts<br />• Seeding Positivity</p>","LMBB-1013","<b><i>Rewiring Our Brains</b></i> explores how we can change our brains for the benefit of our health and wellbeing. We will learn about neuroplasticity, and will practice strategies to undo negativity bias in order to rewire our brains for the good. Participants will experiment with a range of practices that help us create new neural pathways by seeding positivity and cultivating mindful presence."
"EGEU 1014: Emergency Response Best Practices","EGEU 1014","EGEU 1014","OEE","","<p>May 2021 USSD Conference: Emergency Response Best Practices</p>","EGEU-1014","May 2021 USSD Conference: Emergency Response Best Practices"
"EGEU 1015: COPSSEM","EGEU 1015","EGEU 1015","OEE","","<p>May 2021 USSD Conference: COPSSEM</p>","EGEU-1015","May 2021 USSD Conference: COPSSEM"
"GSEU 1015: 2022 Northern Colorado Human Trafficking Symposium: Empowering the Gl","GSEU 1015","GSEU 1015","OEE","","<p>Human Trafficking Symposium</p>","GSEU-1015","Human Trafficking Symposium"
"EGEU 1016: Levees","EGEU 1016","EGEU 1016","OEE","","<p>May 2021 USSD Conference: Levees</p>","EGEU-1016","May 2021 USSD Conference: Levees"
"EGEU 1017: Earthquakes Session","EGEU 1017","EGEU 1017","OEE","","<p>Earthquakes Session</p>","EGEU-1017","Earthquakes Session"
"EGEU 1018: Earthquakes","EGEU 1018","EGEU 1018","OEE","","<p>Earthquakes</p>","EGEU-1018","Earthquakes"
"EGEU 1019: Earthquakes Part II","EGEU 1019","EGEU 1019","OEE","","<p>Earthquakes Part II</p>","EGEU-1019","Earthquakes Part II"
"CFPD 102: Using Design Tools in Your Online Courses","CFPD 102","CFPD 102","OEE","","<p>Take your course to the next level with Design Tools for Canvas. Improve the quality, consistency, and accessibility of your courses and provide learners with a better experience. Topics covered include creating individual designed pages, exploring the various options for themes and layouts, and utilization of the Multi-Tool to rapidly crate page templates and modules.</p><p>Course Objectives:<br />o Explore the use and features of the Design Tools <br />o Design pages in Canvas with Design Tools <br />o Create modules and page templates in Canvas with the Multi-Tool <br />o Identify accessibility features of Design Tools</p><p>Quality Matters Standards Addressed: 8.1, 8.2, 8.3</p>","CFPD-102","Take your course to the next level with Design Tools for Canvas. Improve the quality, consistency, and accessibility of your courses and provide learners with a better experience"
"EGEU 1020: Embankments-Seismicity","EGEU 1020","EGEU 1020","OEE","","<p>Embankments-Seismicity</p>","EGEU-1020","Embankments-Seismicity"
"AGBB 1021: National Association of Landscape Professionals Landscape Training Co","AGBB 1021","AGBB 1021","OEE","","<p>Technology has revolutionized the way irrigation systems are designed, installed and maintained over the past 10 years. Water conservation and water quality are at the forefront of discussions and governmental regulations. As a result, irrigation contractors have adopted their work quickly and effectively to use new tools and technology to help conserve water resources and protect water quality.</p><p>While technological advancements have brought about changes in the mechanics and quality of irrigation system components – they are more durable, precise and efficient than ever before – there are other things that remain unchanged. First, those unchanging principles dealing with the nature of water, and second, how to design, install and maintain irrigation systems effectively. In this course, you will learn the irrigation concepts, planning, water management, major components of an irrigation system, as well as general maintenance, safety and troubleshooting procedures.</p><p>This course prepares landscape professionals to sit for the Landscape Industry Certified Irrigation Technician exam through the National Association of Landscape Professionals (NALP). This certification exam allows individuals in the landscape industry to establish a personal performance benchmark that is recognized throughout the United States and Canada.</p>","AGBB-1021","In this course, you will learn the irrigation concepts, planning, water management, major components of an irrigation system, as well as general maintenance, safety and troubleshooting procedures which prepares you to sit for the Landscape Industry Certified Irrigation Technician exam through the National Association of Landscape Professionals (NALP)."
"EGEU 1021: Concrete Dams Session","EGEU 1021","EGEU 1021","OEE","","<p>Concrete Dams Session</p>","EGEU-1021","Concrete Dams Sessions"
"LMBB 1021: Emotional Resilience","LMBB 1021","LMBB 1021","OEE","","<p>We all encounter difficult emotions like anxiety, fear, and depression. In this module, we will unpack the roots of these difficult emotions and consider the ways in which we perpetuate and intensify them through our negative thought patterns. Through the lens of mindfulness, we will bring greater perspective to our emotional difficulties, learn how to lean into them, and practice naming them to tame them. Viewing our symptoms as teachers, we will learn how to listen to our emotions and respond to them mindfully.<br />Topics include:<br />• Going Beneath the Storm<br />• The Emotion of Fear<br />• Anxiety and Depression</p>","LMBB-1021","We all encounter difficult emotions like anxiety, fear, and depression. <b><i>Emotional Resilience</b></i> unpacks the roots of these difficult emotions and considers ways we can bring greater perspective to our emotional difficulties, learn how to lean into them, & practice naming them to tame them. Viewing our symptoms as teachers, we will learn how to listen to our emotions and respond to them mindfully."
"NRBB 1021: Stewardship Planning and Sustainability: Inventory Resources","NRBB 1021","NRBB 1021","OEE","","<p><strong><i>Stewardship Planning and Sustainability: Inventory Resources</strong></i> is designed to help you develop SMART goals for your property, which consider the importance of land stewardship and sustainability. The course introduces the dynamic relationships between natural resources (soil, water, plants, animals, air and humans) within the property. You will utilize tools to understand driving variables in the system which help inform land management decisions. As you become more aware of the realities, opportunities, and challenges of <u>your property</u>, you will be far more knowledgeable to manage a property you love while also creating a space that is environmentally responsible and able to withstand the test of time!</p>","NRBB-1021","This course is designed to help you develop SMART goals for your property. You will discover the dynamic relationships between natural resources (soil, water, plants, animals, air and humans), and become familiar with the tools used to inform land management decisions."
"AGBB 1022: National Association of Landscape Professionals: Landscape Training C","AGBB 1022","AGBB 1022","OEE","","<p>As our population grows and becomes more urbanized, there is an increasing need for landscape professionals to create organized, useful and attractive outdoor spaces. Landscaped areas serve many purposes by offering privacy, space for get-togethers, and recreational space, as well as improving the overall aesthetics of our property. In addition to serving the intended purpose, the space must be functional and efficiently maintained. This requires successful landscape installation technicians to have knowledge and expertise from several specialized disciplines.<br />In this course, you will learn about incorporating hardscapes (walkways, patios, arbors, walls, etc) and specialty landscape features, such as water features, into landscape design, selecting the right plants (texture, size, shape, color), and the roles that surveying, cartography, mapping and engineering play in the design process. Safety and first aid, irrigation, and the use of motorized equipment in landscape construction will also be covered.<br />This course prepares landscape professionals to sit for the Landscape Industry Certified Installation Technician exam through the National Association of Landscape Professionals (NALP). This certification exam allows individuals in the landscape industry to establish a personal performance benchmark that is recognized throughout the United States and Canada.</p>","AGBB-1022","In this course, you will learn about incorporating hardscapes and specialty landscape features, such as water features, into landscape design, selecting the right plants, and the roles that surveying, cartography, mapping and engineering play in the design process. Safety and first aid, irrigation, and the use of motorized equipment in landscape construction will also be covered."
"EGEU 1022: RCC and AAR Case Studies for Concrete Dams","EGEU 1022","EGEU 1022","OEE","","<p>RCC and AAR Case Studies for Concrete Dams</p>","EGEU-1022","RCC and AAR Case Studies for Concrete Dams"
"LMBB 1022: Coping with Pain and Loss","LMBB 1022","LMBB 1022","OEE","","<p>We often push away and try to control the pain, distress, and loss that we encounter in our lives. Through our mindfulness practice, we can examine our aversion, cultural conditions, and control instincts that drive our fear of discomfort and difficulty. We will explore how to interrupt the cycle of reaction, work with our fear, and ride the waves of discomfort and loss as we create a new relationship to our controlling instinct and with our physical condition.<br />Topics include:<br />• Interrupting the Pain Cycle<br />• Accepting Aging and Loss</p>","LMBB-1022","We often push away and try to control the pain, distress, and loss that we encounter in our lives. Through our mindfulness practice, we can examine our aversion, cultural conditions, and control instincts that drive our fear of discomfort and difficulty. We will explore how to interrupt the cycle of reaction, work with our fear, and ride the waves of discomfort."
"NRBB 1022: Soil: The Basics","NRBB 1022","NRBB 1022","OEE","","<p>Learning the fundamentals of soil health and management is the first step in becoming successful at growing a crop, pasture, or garden. Understanding your property’s soil characteristics in relation to potential uses can save a lot of time, money, and frustration. In this course, you will learn the fundamentals of physical, chemical, and biological properties of soils. Hands-on activities will guide you to learn more about soil fertility and soil texture. Five soil health principles will be introduced as a sustainable approach to long-term soil health. A solid understanding of the importance of soil health and soil characteristics will inform and improve land management decisions.</p>","NRBB-1022","Learning the fundamentals of soil health and management is the first step in becoming successful at growing a crop, pasture, or garden. In this course, you will learn the fundamentals of physical, chemical, and biological properties of soils. Hands-on activities will guide you to learn more about soil fertility and soil texture, allowing you to improve your land management decisions"
"AGBB 1023: National Association of Landscape Professionals: Landscape Training C","AGBB 1023","AGBB 1023","OEE","","<p>Landscapes are constantly changing – droughts and other environmental factors make it necessary to adjust maintenance priorities to the needs of the landscape. When property owners respond to situations like drought or environmental factors, their maintenance requirements may need to be adjusted to compensate for these shifts in priorities. And as urban landscapes continue to mature, maintenance requirements must reflect a commitment to protecting their increasing value. Other considerations like wear and tear, design flaws, growth habits and environmental issues will also impact maintenance requirements.<br />Landscape maintenance professionals are required to manage any combination of these challenges. This requires a wide ranging knowledge base and skills that include equipment operation, basic irrigation know-how, pest and disease identification and treatment, competency to apply fertilizer and pesticides, and the ability to care for a variety of plant materials.</p>","AGBB-1023","This course prepares landscape professionals to sit for the Landscape Industry Certified Maintenance Technician exam through the National Association of Landscape Professionals (NALP). This certification exam allows individuals in the landscape industry to establish a personal performance benchmark that is recognized throughout the United States and Canada."
"EGEU 1023: Practical and Advanced Numerical Analysis for Concrete Dams","EGEU 1023","EGEU 1023","OEE","","<p>Practical and Advanced Numerical Analysis for Concrete Dams</p>","EGEU-1023","Practical and Advanced Numerical Analysis for Concrete Dams"
"NRBB 1023: Water: The Basics","NRBB 1023","NRBB 1023","OEE","","<p>Water is an essential resource for life, but is limited in the arid West! In this course, you will explore how water laws guarantee security, assure reliability, and create flexibility in the development and protection of water resources in Colorado. We depend on good water quality for drinking, irrigation, wildlife habitat, recreation, municipal uses, industrial uses, and simple enjoyment of the landscape. We all have the potential to degrade our water supplies through daily activities. Through this course, you will understand the interactions between humans and water quality, become familiar with the major laws created to protect our water, and learn how you can protect water resources on your property.</p>","NRBB-1023","This course explores how water laws guarantee security, assures reliability, and creates flexibility in the development and protection of water resources in Colorado. Through this course, you will understand the interactions between humans and water quality, become familiar with the major laws created to protect our water, and learn how you can protect water resources on your property."
"EGEU 1024: Embankments/Monitoring Session","EGEU 1024","EGEU 1024","OEE","","<p>Embankments/Monitoring Session</p>","EGEU-1024","Embankments/Monitoring Session"
"EGEU 1025: Embankments and Internal Erosion","EGEU 1025","EGEU 1025","OEE","","<p>Embankments &amp; Internal Erosion</p>","EGEU-1025","Embankments & Internal Erosion"
"EGEU 1026: Monitoring Dams and Their Foundations","EGEU 1026","EGEU 1026","OEE","","<p>MDTF</p>","EGEU-1026","MDTF"
"EGEU 1027: Embankments-ACED","EGEU 1027","EGEU 1027","OEE","","<p>Embankments-ACED</p>","EGEU-1027","Embankments-ACED"
"EGEU 1028: H&H/Decommissioning Session","EGEU 1028","EGEU 1028","OEE","","<p>H&amp;H/Decommissioning Session</p>","EGEU-1028","H&H/Decommissioning Session"
"EGEU 1029: H&H - Hydraulic Modeling for Spillways and Dams","EGEU 1029","EGEU 1029","OEE","","<p>H&amp;H – Hydraulic Modeling for Spillways and Dams</p>","EGEU-1029","H&H – Hydraulic Modeling for Spillways and Dams"
